,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors,predictions
5568,2010,Andrew Bogut,C,25,MIL,69,69,2229,7.6,14.7,0.52,0.0,0.0,0.0,7.6,14.7,0.521,2.4,3.8,0.629,3.4,8.0,11.3,2.1,0.6,2.8,2.1,3.6,17.7,Third,No_Honors
5594,2010,Kobe Bryant,SG,31,LAL,73,73,2835,9.1,19.9,0.456,1.3,3.8,0.32899999999999996,7.8,16.1,0.48700000000000004,5.6,6.9,0.8109999999999999,1.0,4.0,5.0,4.6,1.4,0.3,3.0,2.4,25.0,First,No_Honors
5657,2010,Tim Duncan,C,33,SAS,78,77,2438,8.3,16.0,0.518,0.0,0.2,0.182,8.3,15.8,0.522,4.0,5.5,0.725,3.3,8.4,11.6,3.6,0.7,1.7,2.1,2.2,20.6,Third,No_Honors
5687,2010,Pau Gasol,C,29,LAL,65,65,2403,6.8,12.6,0.536,0.0,0.1,0.0,6.8,12.6,0.539,4.3,5.4,0.79,3.6,7.4,11.0,3.3,0.6,1.7,2.1,2.3,17.8,Third,No_Honors
5813,2010,Joe Johnson,SG,28,ATL,76,76,2886,7.9,17.3,0.45799999999999996,1.6,4.4,0.369,6.3,12.9,0.488,2.7,3.4,0.818,0.9,3.5,4.4,4.6,1.0,0.1,1.8,1.8,20.2,Third,No_Honors
5911,2010,Steve Nash*,PG,35,PHO,81,81,2660,6.8,13.3,0.507,1.7,3.9,0.426,5.1,9.4,0.54,2.9,3.0,0.938,0.5,3.2,3.6,12.1,0.6,0.2,4.0,1.5,18.0,Second,No_Honors
5978,2010,Brandon Roy,SG,25,POR,65,65,2419,7.3,15.4,0.473,1.1,3.3,0.33,6.2,12.2,0.512,5.1,6.5,0.78,1.1,3.2,4.2,4.5,0.9,0.2,1.9,2.0,20.8,Third,No_Honors
6005,2010,Amar'e Stoudemire,PF,27,PHO,82,82,2838,8.9,16.0,0.557,0.0,0.1,0.16699999999999998,8.9,16.0,0.5589999999999999,6.2,8.0,0.7709999999999999,2.9,6.4,9.3,1.0,0.7,1.1,2.7,3.6,24.1,Second,No_Honors
6070,2010,Deron Williams,PG,25,UTA,76,76,2802,6.3,13.5,0.469,1.2,3.3,0.371,5.1,10.2,0.501,4.3,5.4,0.8009999999999999,0.6,3.3,3.9,10.3,1.2,0.2,3.2,2.7,18.2,Second,No_Honors
6108,2009,Carmelo Anthony,SF,24,DEN,66,66,2277,8.5,19.1,0.44299999999999995,1.0,2.7,0.371,7.5,16.4,0.455,5.9,7.4,0.7929999999999999,1.7,5.4,7.1,3.5,1.2,0.4,3.1,3.1,23.8,Third,No_Honors
6142,2009,Chauncey Billups,PG,32,TOT,79,79,2789,5.3,12.6,0.418,2.1,5.1,0.408,3.2,7.5,0.425,5.4,5.9,0.9129999999999999,0.4,2.7,3.1,6.5,1.2,0.2,2.3,2.1,18.1,Third,No_Honors
6177,2009,Kobe Bryant,SG,30,LAL,82,82,2960,9.7,20.8,0.467,1.4,4.1,0.35100000000000003,8.3,16.7,0.496,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,First,Second
6253,2009,Tim Duncan,C,32,SAS,75,75,2524,8.0,15.8,0.504,0.0,0.0,0.0,8.0,15.8,0.505,4.8,6.9,0.6920000000000001,2.9,8.5,11.4,3.8,0.5,1.8,2.4,2.5,20.7,Second,No_Honors
6281,2009,Pau Gasol,C,28,LAL,81,81,2999,7.1,12.5,0.5670000000000001,0.0,0.0,0.5,7.1,12.5,0.5670000000000001,4.1,5.3,0.7809999999999999,3.1,6.2,9.4,3.4,0.6,1.0,1.9,2.1,18.3,Third,No_Honors
6483,2009,Dirk Nowitzki,PF,30,DAL,81,81,3050,9.1,19.1,0.479,0.7,2.0,0.359,8.4,17.1,0.493,5.7,6.4,0.89,1.0,7.0,8.0,2.3,0.7,0.7,1.9,2.1,24.7,First,Second
6490,2009,Shaquille O'Neal*,C,36,PHO,75,75,2252,8.2,13.4,0.609,0.0,0.0,0.0,8.2,13.4,0.61,4.9,8.3,0.595,3.0,7.1,10.1,2.0,0.8,1.7,2.7,4.0,21.3,Third,No_Honors
6500,2009,Tony Parker,PG,26,SAS,72,71,2456,9.4,18.5,0.506,0.3,1.0,0.292,9.1,17.6,0.518,4.2,5.3,0.782,0.4,2.9,3.3,7.3,1.0,0.1,2.7,1.6,23.2,Third,No_Honors
6509,2009,Paul Pierce,SF,31,BOS,81,81,3035,6.4,14.0,0.457,1.4,3.6,0.391,5.0,10.4,0.48,5.4,6.6,0.83,0.7,4.8,5.4,3.5,0.9,0.3,2.7,2.6,19.7,Second,No_Honors
6547,2009,Brandon Roy,SG,24,POR,78,78,2903,7.8,16.3,0.48,1.0,2.7,0.377,6.8,13.6,0.501,5.2,6.3,0.8240000000000001,1.3,3.3,4.6,5.0,1.1,0.3,1.9,1.6,21.9,Second,No_Honors
6730,2008,Carlos Boozer,PF,26,UTA,81,81,2827,9.0,16.5,0.547,0.0,0.0,0.0,9.0,16.5,0.547,3.7,5.0,0.738,2.5,8.2,10.7,3.0,1.3,0.5,2.7,3.7,21.8,Third,No_Honors
6752,2008,Kobe Bryant,SG,29,LAL,82,82,3192,8.7,19.1,0.45899999999999996,1.7,4.7,0.361,7.0,14.4,0.49,7.0,8.4,0.84,1.1,4.8,5.8,5.0,1.7,0.5,2.9,2.6,26.2,First,Second
6816,2008,Tim Duncan,C,31,SAS,78,78,2651,7.9,16.0,0.49700000000000005,0.0,0.1,0.0,7.9,15.9,0.498,4.6,6.3,0.73,3.2,8.7,12.0,3.0,0.8,2.1,2.4,2.5,20.5,Second,No_Honors
6850,2008,Kevin Garnett,PF,31,BOS,71,71,2328,8.3,15.3,0.539,0.0,0.2,0.0,8.3,15.1,0.545,4.2,5.2,0.8009999999999999,2.1,8.0,10.1,3.8,1.5,1.4,2.1,2.5,20.7,First,No_Honors
6862,2008,Manu Ginóbili,SG,30,SAS,74,23,2299,7.1,15.4,0.46,2.4,6.1,0.401,4.7,9.3,0.499,6.0,6.9,0.86,1.0,4.6,5.5,5.2,1.7,0.5,3.1,2.7,22.6,Third,No_Honors
6934,2008,Allen Iverson*,SG,32,DEN,82,82,3424,7.5,16.4,0.45799999999999996,1.0,2.9,0.345,6.5,13.5,0.48200000000000004,6.8,8.4,0.809,0.5,2.1,2.6,6.2,1.7,0.1,2.6,1.1,22.8,No_Honors,First
6943,2008,Jerome James,C,32,NYK,2,0,5,7.2,7.2,1.0,0.0,0.0,,7.2,7.2,1.0,14.4,14.4,1.0,0.0,21.6,21.6,0.0,0.0,0.0,0.0,0.0,28.8,No_Honors,First
7010,2008,Ian Mahinmi,C,21,SAS,6,0,23,9.4,18.8,0.5,0.0,0.0,,9.4,18.8,0.5,14.1,14.1,1.0,0.0,7.8,7.8,1.6,0.0,6.3,3.1,6.3,32.9,No_Honors,First
7028,2008,Tracy McGrady*,SG,28,HOU,66,62,2440,8.1,19.3,0.419,1.3,4.4,0.292,6.8,14.9,0.457,3.6,5.3,0.684,0.6,4.4,5.0,5.7,1.0,0.4,2.4,1.3,21.1,Third,No_Honors
7039,2008,Yao Ming*,C,27,HOU,55,55,2044,7.6,15.0,0.507,0.0,0.0,0.0,7.6,15.0,0.508,6.1,7.2,0.85,3.0,7.4,10.5,2.3,0.4,2.0,3.2,3.0,21.3,Third,No_Honors
7055,2008,Steve Nash*,PG,33,PHO,81,81,2780,6.3,12.5,0.504,2.3,4.9,0.47,4.0,7.5,0.527,2.9,3.2,0.9059999999999999,0.4,3.3,3.7,11.6,0.7,0.1,3.8,1.5,17.8,Second,No_Honors
7091,2008,Chris Paul,PG,22,NOH,80,80,3006,7.5,15.5,0.488,1.1,3.0,0.369,6.4,12.5,0.516,4.0,4.7,0.851,0.7,3.1,3.8,11.1,2.6,0.0,2.4,2.2,20.2,First,Second
7099,2008,Paul Pierce,SF,30,BOS,80,80,2874,6.4,13.8,0.46399999999999997,1.8,4.6,0.392,4.6,9.2,0.499,5.1,6.1,0.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.7,Third,No_Honors
7235,2008,Deron Williams,PG,23,UTA,82,82,3059,6.7,13.1,0.507,1.0,2.5,0.395,5.7,10.7,0.5329999999999999,3.9,4.8,0.8029999999999999,0.4,2.5,2.9,10.1,1.1,0.3,3.3,2.4,18.2,Second,No_Honors
7278,2007,Carmelo Anthony,SF,22,DEN,65,65,2486,10.0,21.0,0.47600000000000003,0.6,2.2,0.268,9.4,18.9,0.499,6.6,8.2,0.8079999999999999,2.1,3.6,5.7,3.6,1.1,0.3,3.4,2.9,27.2,Third,No_Honors
7280,2007,Gilbert Arenas,PG,25,WAS,74,73,2942,7.9,18.9,0.418,2.5,7.1,0.35100000000000003,5.4,11.8,0.45899999999999996,7.4,8.8,0.8440000000000001,0.7,3.4,4.1,5.4,1.7,0.2,2.9,3.0,25.8,Second,No_Honors
7306,2007,Chauncey Billups,PG,30,DET,70,70,2533,4.9,11.6,0.42700000000000005,1.5,4.5,0.345,3.4,7.1,0.479,5.5,6.2,0.883,0.3,3.0,3.4,7.1,1.2,0.2,2.0,2.3,16.9,Third,No_Honors
7319,2007,Chris Bosh,C,22,TOR,69,69,2658,7.4,14.8,0.496,0.2,0.5,0.34299999999999997,7.2,14.3,0.501,6.3,8.0,0.785,2.5,7.5,10.0,2.4,0.5,1.2,2.4,2.2,21.1,Second,No_Honors
7325,2007,Elton Brand,PF,27,LAC,80,80,3077,7.5,14.2,0.5329999999999999,0.0,0.0,1.0,7.5,14.2,0.532,4.1,5.4,0.7609999999999999,3.1,5.6,8.7,2.7,0.9,2.1,2.4,2.8,19.2,No_Honors,Second
7334,2007,Kobe Bryant,SG,28,LAL,77,77,3140,9.3,20.1,0.46299999999999997,1.6,4.6,0.344,7.8,15.6,0.49700000000000005,7.6,8.8,0.868,0.9,4.2,5.0,4.7,1.3,0.4,2.9,2.4,27.9,First,Second
7419,2007,Kevin Garnett,PF,30,MIN,76,76,2995,7.7,16.1,0.47600000000000003,0.1,0.7,0.214,7.5,15.4,0.48700000000000004,5.0,6.0,0.835,2.2,9.5,11.7,3.8,1.1,1.5,2.5,2.2,20.5,Third,Second
7472,2007,Dwight Howard,C,21,ORL,82,82,3023,6.3,10.4,0.603,0.0,0.0,0.5,6.3,10.4,0.603,4.6,7.9,0.586,3.4,8.6,12.0,1.9,0.8,1.9,3.8,2.9,17.2,Third,No_Honors
7499,2007,LeBron James,SF,22,CLE,78,78,3190,8.7,18.3,0.47600000000000003,1.1,3.5,0.319,7.6,14.8,0.513,5.5,7.9,0.698,0.9,5.0,5.9,5.3,1.4,0.6,2.8,1.9,24.1,Second,First
7571,2007,Tracy McGrady*,SG,27,HOU,71,71,2539,9.0,21.0,0.431,1.8,5.4,0.331,7.3,15.6,0.466,4.9,6.9,0.7070000000000001,0.8,4.6,5.4,6.5,1.3,0.5,3.0,1.9,24.8,Second,No_Honors
7587,2007,Yao Ming*,C,26,HOU,48,48,1624,9.4,18.2,0.516,0.0,0.0,0.0,9.4,18.1,0.518,7.9,9.2,0.862,2.2,7.8,10.0,2.1,0.4,2.1,3.7,3.5,26.6,Second,No_Honors
7601,2007,Steve Nash*,PG,32,PHO,76,76,2682,6.9,13.0,0.532,2.1,4.6,0.455,4.8,8.4,0.575,3.0,3.3,0.899,0.4,3.2,3.6,11.9,0.8,0.1,3.9,1.6,19.0,First,No_Honors
7608,2007,Dirk Nowitzki,PF,28,DAL,78,78,2820,8.6,17.1,0.502,0.9,2.2,0.41600000000000004,7.7,14.9,0.515,6.4,7.0,0.904,1.6,7.3,8.8,3.4,0.7,0.8,2.1,2.2,24.5,First,Second
7708,2007,Amar'e Stoudemire,C,24,PHO,82,78,2689,8.1,14.1,0.575,0.0,0.0,0.0,8.1,14.1,0.5770000000000001,6.1,7.8,0.7809999999999999,3.0,7.6,10.5,1.1,1.0,1.5,3.1,3.9,22.4,First,No_Honors
7737,2007,Dwyane Wade,SG,25,MIA,51,50,1931,8.8,17.9,0.491,0.4,1.5,0.266,8.4,16.5,0.511,8.1,10.0,0.807,1.0,3.5,4.5,7.2,2.0,1.2,4.0,2.2,26.0,Third,No_Honors
7794,2006,Carmelo Anthony,SF,21,DEN,80,80,2941,9.3,19.2,0.48100000000000004,0.5,1.9,0.243,8.8,17.4,0.506,7.0,8.7,0.8079999999999999,1.5,3.3,4.8,2.6,1.1,0.5,2.7,2.8,26.0,Third,No_Honors
7796,2006,Gilbert Arenas,PG,24,WAS,80,80,3384,7.9,17.7,0.447,2.1,5.7,0.369,5.8,12.0,0.485,7.0,8.5,0.82,0.6,2.4,3.0,5.1,1.7,0.3,3.2,3.0,25.0,Third,Second
7835,2006,Chauncey Billups,PG,29,DET,81,81,2925,5.2,12.5,0.418,2.3,5.2,0.433,2.9,7.2,0.40700000000000003,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.4,Second,No_Honors
7925,2006,Tim Duncan,PF,29,SAS,80,80,2784,7.4,15.3,0.484,0.0,0.1,0.4,7.4,15.3,0.485,4.3,6.9,0.629,3.0,8.4,11.4,3.3,0.9,2.1,2.6,2.8,19.2,Second,No_Honors
7962,2006,Kevin Garnett,PF,29,MIN,76,76,2957,7.6,14.5,0.526,0.1,0.4,0.267,7.5,14.1,0.532,4.8,6.0,0.81,2.6,9.2,11.8,3.7,1.3,1.3,2.2,2.5,20.2,Third,Second
7964,2006,Pau Gasol,PF,25,MEM,80,80,3135,6.9,13.7,0.503,0.0,0.1,0.25,6.9,13.6,0.505,4.9,7.1,0.6890000000000001,2.2,6.0,8.2,4.3,0.5,1.8,2.7,2.1,18.7,No_Honors,First
8023,2006,Allen Iverson*,PG,30,PHI,72,72,3103,9.5,21.1,0.447,0.8,2.6,0.32299999999999995,8.6,18.6,0.465,7.8,9.6,0.8140000000000001,0.5,2.2,2.7,6.2,1.6,0.1,2.9,1.4,27.6,Third,First
8118,2006,Yao Ming*,C,25,HOU,57,57,1949,8.6,16.6,0.519,0.0,0.0,0.0,8.6,16.6,0.519,6.2,7.3,0.853,2.7,8.0,10.7,1.6,0.6,1.7,2.7,3.6,23.5,Third,No_Honors
8139,2006,Steve Nash*,PG,31,PHO,79,79,2796,7.0,13.6,0.512,1.9,4.4,0.439,5.0,9.2,0.5479999999999999,3.3,3.6,0.9209999999999999,0.6,3.7,4.3,10.6,0.8,0.2,3.6,1.5,19.2,First,No_Honors
8147,2006,Dirk Nowitzki,PF,27,DAL,81,81,3089,8.8,18.2,0.48,1.3,3.2,0.406,7.5,15.1,0.496,6.3,7.0,0.9009999999999999,1.3,7.1,8.5,2.6,0.7,1.0,1.8,1.9,25.1,First,Second
8149,2006,Shaquille O'Neal*,C,33,MIA,59,58,1806,9.6,15.9,0.6,0.0,0.0,,9.6,15.9,0.6,4.4,9.4,0.469,3.4,7.4,10.8,2.3,0.5,2.1,3.3,4.6,23.5,First,No_Honors
8178,2006,Paul Pierce,SF,28,BOS,79,79,3084,8.0,17.1,0.47100000000000003,1.3,3.7,0.354,6.7,13.4,0.503,7.3,9.5,0.772,0.9,5.3,6.2,4.4,1.2,0.4,3.2,2.6,24.7,No_Honors,Second
8295,2006,Dwyane Wade,SG,24,MIA,75,75,2892,8.7,17.6,0.495,0.2,0.9,0.171,8.5,16.6,0.513,7.8,10.0,0.7829999999999999,1.3,4.0,5.4,6.3,1.8,0.7,3.3,2.7,25.4,Second,First
8299,2006,Ben Wallace,C,31,DET,82,82,2890,3.0,5.8,0.51,0.0,0.0,0.0,3.0,5.7,0.514,1.5,3.7,0.41600000000000004,3.7,7.7,11.5,2.0,1.8,2.3,1.1,2.0,7.4,Second,No_Honors
8349,2005,Ray Allen*,SG,29,SEA,78,78,3064,7.5,17.6,0.428,2.5,6.5,0.376,5.1,11.0,0.45899999999999996,4.4,5.0,0.883,0.9,3.1,4.1,3.4,1.0,0.1,2.0,2.0,21.9,Second,No_Honors
8362,2005,Gilbert Arenas,PG,23,WAS,80,80,3274,7.2,16.7,0.431,2.3,6.2,0.365,5.0,10.6,0.469,5.7,7.0,0.8140000000000001,0.9,3.2,4.2,4.5,1.5,0.3,2.7,2.7,22.4,Third,No_Honors
8427,2005,Kobe Bryant,SG,26,LAL,66,66,2689,7.7,17.7,0.433,1.8,5.2,0.33899999999999997,5.9,12.5,0.47200000000000003,7.3,8.9,0.816,1.3,4.0,5.2,5.3,1.2,0.7,3.6,2.3,24.4,Third,No_Honors
8502,2005,Tim Duncan,PF,28,SAS,66,66,2203,8.4,17.0,0.496,0.0,0.1,0.33299999999999996,8.4,16.9,0.498,5.0,7.4,0.67,3.3,8.7,12.0,2.9,0.7,2.8,2.1,2.4,21.9,First,No_Honors
8612,2005,LeBron James,SF,20,CLE,80,80,3388,8.4,17.9,0.47200000000000003,1.1,3.3,0.35100000000000003,7.3,14.6,0.499,5.1,6.8,0.75,1.2,5.1,6.2,6.1,1.9,0.6,2.8,1.6,23.1,Second,First
8666,2005,Shawn Marion,PF,26,PHO,81,81,3146,7.0,14.8,0.47600000000000003,1.3,3.9,0.33399999999999996,5.7,10.8,0.526,2.6,3.1,0.833,2.7,7.8,10.5,1.8,1.9,1.4,1.4,2.3,18.0,Third,No_Honors
8679,2005,Tracy McGrady*,SF,25,HOU,78,78,3182,8.1,18.8,0.431,1.6,4.9,0.326,6.5,13.9,0.46799999999999997,4.9,6.3,0.774,0.8,4.7,5.5,5.1,1.5,0.6,2.3,1.9,22.7,Third,First
8720,2005,Steve Nash*,PG,30,PHO,75,75,2573,6.0,12.0,0.502,1.3,3.1,0.431,4.7,8.9,0.526,3.0,3.3,0.887,0.8,2.7,3.5,12.0,1.0,0.1,3.4,1.9,16.3,First,No_Honors
8728,2005,Dirk Nowitzki,PF,26,DAL,78,78,3020,7.9,17.2,0.45899999999999996,1.1,2.7,0.39899999999999997,6.8,14.5,0.47,7.3,8.4,0.8690000000000001,1.1,7.9,9.0,2.9,1.2,1.4,2.1,2.6,24.2,First,Second
8882,2005,Ben Wallace,C,30,DET,74,74,2671,4.0,8.8,0.45299999999999996,0.0,0.1,0.111,4.0,8.7,0.45799999999999996,1.8,4.1,0.428,3.9,8.2,12.2,1.7,1.4,2.4,1.1,2.1,9.7,Third,No_Honors
9015,2004,Kobe Bryant,SG,25,LAL,65,64,2447,7.6,17.3,0.43799999999999994,1.0,3.2,0.327,6.5,14.1,0.46299999999999997,6.7,7.8,0.852,1.5,3.8,5.3,4.9,1.6,0.4,2.5,2.6,22.9,First,No_Honors
9033,2004,Sam Cassell,PG,34,MIN,81,81,2838,7.9,16.1,0.488,0.9,2.4,0.39799999999999996,6.9,13.8,0.504,3.7,4.2,0.873,0.6,2.9,3.4,7.5,1.3,0.2,2.8,3.1,20.3,Second,No_Honors
9060,2004,Baron Davis,PG,24,NOH,67,66,2686,7.4,18.8,0.395,2.5,7.8,0.321,4.9,11.0,0.44799999999999995,3.2,4.7,0.6729999999999999,0.9,3.0,3.8,6.7,2.1,0.4,2.9,2.4,20.5,Third,No_Honors
9212,2004,Jason Kidd*,PG,30,NJN,67,66,2450,5.4,14.1,0.384,1.4,4.3,0.321,4.0,9.8,0.41100000000000003,3.0,3.7,0.8270000000000001,1.2,5.0,6.3,9.1,1.8,0.2,3.1,1.6,15.2,First,No_Honors
9261,2004,Tracy McGrady*,SG,24,ORL,67,67,2675,8.8,21.1,0.41700000000000004,2.3,6.9,0.33899999999999997,6.4,14.2,0.455,5.4,6.7,0.7959999999999999,1.3,4.1,5.4,5.0,1.3,0.6,2.4,1.7,25.3,Second,No_Honors
9281,2004,Yao Ming*,C,23,HOU,82,82,2692,7.2,13.7,0.522,0.0,0.0,0.0,7.2,13.7,0.523,4.8,6.0,0.809,2.6,7.2,9.8,1.6,0.3,2.1,2.7,3.7,19.1,Third,No_Honors
9311,2004,Dirk Nowitzki,C,25,DAL,77,77,2915,7.5,16.2,0.462,1.2,3.6,0.341,6.2,12.6,0.496,4.6,5.2,0.877,1.1,7.2,8.3,2.6,1.1,1.3,1.7,2.7,20.7,Third,No_Honors
9312,2004,Jermaine O'Neal,PF,25,IND,78,78,2788,7.9,18.1,0.434,0.0,0.2,0.111,7.8,17.8,0.43799999999999994,4.5,5.9,0.757,2.5,7.6,10.0,2.1,0.8,2.6,2.3,3.2,20.2,Second,No_Honors
9313,2004,Shaquille O'Neal*,C,31,LAL,67,67,2464,8.1,13.9,0.584,0.0,0.0,,8.1,13.9,0.584,4.8,9.9,0.49,3.6,7.6,11.2,2.9,0.5,2.4,2.8,3.3,21.0,First,No_Honors
9369,2004,Michael Redd,SG,24,MIL,82,82,3021,7.5,17.1,0.44,1.5,4.3,0.35,6.0,12.8,0.47,4.6,5.3,0.868,1.4,3.4,4.9,2.2,1.0,0.1,1.4,1.8,21.2,Third,No_Honors
9413,2004,Peja Stojaković,SF,26,SAC,81,81,3264,7.3,15.3,0.48,2.6,6.1,0.433,4.7,9.2,0.511,4.3,4.7,0.927,1.0,4.6,5.6,1.9,1.2,0.2,1.7,1.8,21.7,Second,No_Honors
9459,2004,Ben Wallace,C,29,DET,81,81,3050,3.7,8.8,0.42100000000000004,0.0,0.1,0.125,3.7,8.7,0.424,1.7,3.4,0.49,3.8,8.0,11.9,1.6,1.7,2.9,1.5,1.9,9.1,Second,No_Honors
9509,2004,Metta World Peace,SF,24,IND,73,71,2714,6.2,14.8,0.42100000000000004,1.0,3.2,0.31,5.2,11.5,0.452,4.3,5.8,0.733,1.3,3.8,5.1,3.6,2.0,0.7,2.7,2.6,17.7,Third,No_Honors
9721,2003,Allen Iverson*,SG,27,PHI,82,82,3485,8.3,20.0,0.414,0.9,3.1,0.27699999999999997,7.4,16.9,0.44,5.9,7.6,0.774,0.7,2.9,3.6,4.7,2.3,0.1,3.0,1.5,23.4,Second,First
9751,2003,Jason Kidd*,PG,29,NJN,80,80,2989,6.2,15.0,0.414,1.5,4.5,0.341,4.7,10.5,0.445,4.1,4.9,0.841,1.3,4.7,6.1,8.6,2.2,0.3,3.6,1.5,18.0,Second,No_Honors
9778,2003,Stephon Marbury,PG,25,PHO,81,81,3240,7.5,17.0,0.439,1.0,3.3,0.301,6.5,13.7,0.47200000000000003,4.2,5.2,0.8029999999999999,0.6,2.3,2.9,7.3,1.2,0.2,2.9,2.2,20.1,Third,No_Honors
9784,2003,Jamal Mashburn,SF,30,NOH,82,81,3321,7.3,17.2,0.42200000000000004,1.3,3.3,0.389,6.0,13.9,0.43,3.4,4.0,0.848,0.7,4.7,5.4,5.0,0.9,0.2,2.5,2.1,19.2,Third,No_Honors
9826,2003,Steve Nash*,PG,28,DAL,82,82,2711,6.9,14.8,0.465,1.5,3.6,0.413,5.4,11.2,0.48200000000000004,4.1,4.5,0.909,0.8,2.3,3.1,7.9,1.1,0.1,2.5,1.8,19.3,Third,No_Honors
9831,2003,Jermaine O'Neal,PF,24,IND,77,76,2864,7.7,15.8,0.484,0.1,0.3,0.33299999999999996,7.6,15.6,0.48700000000000004,4.7,6.4,0.731,2.5,7.5,10.0,1.9,0.8,2.2,2.3,3.5,20.1,Third,No_Honors
9860,2003,Paul Pierce,SG,25,BOS,79,79,3096,7.7,18.5,0.41600000000000004,1.4,4.5,0.302,6.3,14.0,0.45399999999999996,7.0,8.8,0.802,1.2,5.5,6.7,4.1,1.6,0.7,3.3,2.6,23.8,Third,First
9955,2003,Ben Wallace,C,28,DET,73,73,2873,2.6,5.5,0.48100000000000004,0.0,0.1,0.16699999999999998,2.6,5.4,0.485,1.1,2.4,0.45,3.7,10.4,14.1,1.5,1.3,2.9,1.1,2.2,6.3,Second,No_Honors
9961,2003,Chris Webber,PF,29,SAC,67,67,2622,9.1,19.7,0.461,0.1,0.3,0.23800000000000002,9.0,19.4,0.465,3.0,4.9,0.607,2.2,7.5,9.7,5.0,1.5,1.2,3.0,2.8,21.2,Second,No_Honors
10070,2002,Kobe Bryant,SG,23,LAL,80,80,3063,8.8,18.8,0.469,0.4,1.6,0.25,8.4,17.2,0.489,5.7,6.9,0.8290000000000001,1.3,3.9,5.2,5.1,1.4,0.4,2.6,2.7,23.7,First,Second
10213,2002,Allen Iverson*,SG,26,PHI,60,59,2622,9.1,22.9,0.39799999999999996,1.1,3.7,0.29100000000000004,8.1,19.2,0.419,6.5,8.0,0.812,0.6,3.1,3.7,4.5,2.3,0.2,3.3,1.4,25.9,Second,No_Honors
10246,2002,Jason Kidd*,PG,28,NJN,82,82,3056,5.2,13.4,0.391,1.4,4.3,0.321,3.9,9.1,0.424,2.4,2.9,0.8140000000000001,1.5,5.5,7.0,9.5,2.1,0.2,3.4,1.6,14.2,First,No_Honors
10292,2002,Tracy McGrady*,SG,22,ORL,76,76,2912,8.8,19.6,0.451,1.3,3.5,0.364,7.6,16.1,0.47,5.1,6.9,0.748,1.9,5.5,7.4,4.9,1.5,0.9,2.3,1.7,24.1,First,Second
10321,2002,Dikembe Mutombo*,C,35,PHI,80,80,2907,4.0,7.9,0.501,0.0,0.0,,4.0,7.9,0.501,3.4,4.5,0.764,3.1,7.5,10.7,1.0,0.4,2.4,1.9,3.0,11.4,Third,No_Honors
10325,2002,Steve Nash*,PG,27,DAL,82,82,2837,6.7,13.8,0.483,2.0,4.4,0.455,4.7,9.5,0.495,3.3,3.7,0.887,0.6,2.6,3.2,8.0,0.7,0.1,2.9,2.1,18.6,Third,No_Honors
10331,2002,Dirk Nowitzki,C,23,DAL,76,76,2891,7.5,15.7,0.47700000000000004,1.7,4.4,0.397,5.7,11.3,0.508,5.5,6.4,0.853,1.5,7.9,9.4,2.3,1.0,1.0,1.8,2.8,22.2,Second,No_Honors
10332,2002,Jermaine O'Neal,PF,23,IND,72,72,2707,7.2,15.1,0.479,0.0,0.2,0.071,7.2,14.9,0.484,3.8,5.5,0.688,2.5,7.6,10.1,1.6,0.6,2.2,2.3,3.6,18.2,Third,No_Honors
10363,2002,Paul Pierce,SG,24,BOS,82,82,3302,7.7,17.4,0.442,2.3,5.7,0.40399999999999997,5.4,11.8,0.461,5.7,7.0,0.809,0.9,5.3,6.2,2.8,1.7,0.9,2.6,2.6,23.4,Third,No_Honors
10467,2002,Ben Wallace,C,27,DET,80,80,2921,3.1,5.9,0.531,0.0,0.0,0.0,3.1,5.9,0.535,1.2,2.9,0.423,3.9,8.9,12.8,1.4,1.7,3.4,0.9,2.2,7.5,Third,No_Honors
10474,2002,Chris Webber,PF,28,SAC,54,54,2071,9.2,18.7,0.495,0.1,0.3,0.263,9.2,18.4,0.499,4.4,5.9,0.7490000000000001,2.6,6.9,9.5,4.5,1.6,1.3,2.7,3.1,23.0,Second,No_Honors
10504,2001,Ray Allen*,SG,25,MIL,82,82,3129,7.2,15.1,0.48,2.3,5.4,0.433,4.9,9.7,0.506,4.0,4.5,0.888,1.2,3.8,4.9,4.3,1.4,0.2,2.3,2.2,20.8,Third,No_Honors
10558,2001,Kobe Bryant,SG,22,LAL,68,68,2783,9.1,19.5,0.46399999999999997,0.8,2.6,0.305,8.3,16.9,0.489,6.1,7.2,0.853,1.3,3.8,5.2,4.4,1.5,0.6,2.8,2.9,25.1,Second,No_Honors
10571,2001,Vince Carter,SF,24,TOR,75,75,2979,9.2,20.0,0.46,2.0,4.8,0.408,7.3,15.2,0.47700000000000004,4.6,6.1,0.765,2.1,2.9,5.0,3.5,1.4,1.0,2.0,2.5,25.0,Second,No_Honors
10716,2001,Allen Iverson*,SG,25,PHI,71,71,2979,9.2,21.9,0.42,1.2,3.7,0.32,8.0,18.2,0.441,7.1,8.7,0.8140000000000001,0.6,2.7,3.3,3.9,2.2,0.2,2.9,1.8,26.7,First,No_Honors
