,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors,predictions
1345,2017,Giannis Antetokounmpo,SF,22,MIL,80,80,2845,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,6.0,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3.0,3.1,23.2,Second,First
1405,2017,Jimmy Butler,SF,27,CHI,76,75,2809,7.3,16.0,0.455,1.2,3.2,0.36700000000000005,6.1,12.9,0.47700000000000004,7.5,8.7,0.865,1.7,4.4,6.0,5.3,1.8,0.4,2.0,1.4,23.3,Third,No_Honors
1436,2017,DeMarcus Cousins,C,26,TOT,72,72,2465,9.4,20.9,0.452,1.9,5.3,0.361,7.5,15.6,0.483,7.6,9.8,0.772,2.2,9.4,11.6,4.8,1.5,1.4,3.9,4.1,28.4,No_Honors,Second
1437,2017,DeMarcus Cousins,C,26,SAC,55,55,1891,9.6,21.3,0.452,1.8,5.1,0.35600000000000004,7.8,16.2,0.48200000000000004,8.1,10.5,0.77,2.2,8.9,11.1,5.1,1.4,1.4,3.9,3.9,29.1,No_Honors,Second
1446,2017,Stephen Curry,PG,28,GSW,79,79,2638,9.2,19.7,0.46799999999999997,4.4,10.8,0.41100000000000003,4.8,8.9,0.537,4.4,4.9,0.898,0.8,4.0,4.8,7.2,1.9,0.2,3.3,2.5,27.3,Second,No_Honors
1456,2017,DeMar DeRozan,SG,27,TOR,74,74,2620,9.9,21.2,0.467,0.5,1.7,0.266,9.5,19.5,0.484,7.5,8.9,0.8420000000000001,1.0,4.3,5.3,4.0,1.1,0.2,2.5,1.8,27.8,Third,Second
1469,2017,Kevin Durant,PF,28,GSW,62,62,2070,9.6,17.8,0.537,2.0,5.4,0.375,7.5,12.4,0.608,5.8,6.7,0.875,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2.0,27.0,Second,First
1515,2017,Rudy Gobert,C,24,UTA,81,81,2744,5.4,8.2,0.6609999999999999,0.0,0.0,0.0,5.4,8.2,0.662,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9,Second,No_Honors
1528,2017,Draymond Green,PF,26,GSW,76,76,2471,4.0,9.5,0.418,1.2,3.8,0.308,2.8,5.6,0.494,2.2,3.1,0.7090000000000001,1.4,7.3,8.7,7.8,2.2,1.5,2.7,3.2,11.3,Third,No_Honors
1619,2017,DeAndre Jordan,C,28,LAC,81,81,2570,5.8,8.1,0.7140000000000001,0.0,0.0,0.0,5.8,8.1,0.7170000000000001,2.9,6.0,0.48200000000000004,4.2,11.4,15.6,1.3,0.7,1.9,1.6,3.0,14.4,Third,No_Honors
1644,2017,Kawhi Leonard,SF,25,SAS,74,74,2474,9.3,19.1,0.485,2.1,5.6,0.38,7.1,13.5,0.529,6.8,7.8,0.88,1.2,5.1,6.3,3.8,1.9,0.8,2.2,1.8,27.5,First,No_Honors
