Year,Player,concat,count,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Honors
2019,Solomon Hill,2019Solomon Hill,1,SF,27,NOP,44,15,878,2.8,7.3,0.382,1.3,4.1,0.317,1.5,3.2,0.468,0.9,1.3,0.719,1.4,4.1,5.5,2.3,0.9,0.4,1.3,3.3,7.8,No_Honors
2019,Aaron Holiday,2019Aaron Holiday,1,PG,22,IND,50,0,646,5.9,14.6,0.401,2.4,7.1,0.339,3.5,7.5,0.459,2.3,2.8,0.82,0.3,3.5,3.7,4.8,1.2,0.7,2.2,4,16.4,No_Honors
2019,Jrue Holiday,2019Jrue Holiday,1,SG,28,NOP,67,67,2402,8.2,17.4,0.472,1.8,5.4,0.325,6.4,11.9,0.539,3.1,4.1,0.768,1.1,3.9,5,7.8,1.6,0.8,3.1,2.2,21.3,No_Honors
2019,Justin Holiday,2019Justin Holiday,3,SG,29,TOT,82,77,2607,4.1,10.7,0.386,2.2,6.4,0.348,1.9,4.3,0.442,1.3,1.5,0.896,0.6,3.8,4.5,2,1.7,0.5,1.4,2.3,11.8,No_Honors
2019,Justin Holiday,2019Justin Holiday,3,SG,29,CHI,38,38,1325,4.1,10.7,0.383,2.6,7.3,0.359,1.5,3.4,0.435,1.1,1.2,0.891,0.5,4.1,4.6,2.3,1.8,0.6,1.3,2.1,12,No_Honors
2019,Justin Holiday,2019Justin Holiday,3,SG,29,MEM,44,39,1282,4.2,10.8,0.389,1.8,5.5,0.333,2.4,5.3,0.447,1.5,1.7,0.9,0.8,3.6,4.3,1.7,1.5,0.4,1.6,2.4,11.7,No_Honors
2019,John Holland,2019John Holland,1,SF,30,CLE,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,No_Honors
2019,Rondae Hollis-Jefferson,2019Rondae Hollis-Jefferson,1,SF,24,BRK,59,21,1234,5.8,14.2,0.411,0.3,1.4,0.184,5.6,12.8,0.436,3.4,5.3,0.645,2.4,6.6,9,2.8,1.3,0.8,2,3.1,15.4,No_Honors
2019,Richaun Holmes,2019Richaun Holmes,1,C,25,PHO,70,4,1184,6.8,11.1,0.608,0,0,,6.8,11.1,0.608,3.9,5.3,0.731,3.5,6.6,10.1,1.8,1.3,2.4,1.6,5.9,17.4,No_Honors
2019,Rodney Hood,2019Rodney Hood,3,SG,26,TOT,72,49,1893,5.6,12.8,0.435,1.6,4.5,0.356,4,8.3,0.478,2.6,2.9,0.884,0.5,2.5,3,2.4,1.1,0.2,1,2.8,15.3,No_Honors
2019,Rodney Hood,2019Rodney Hood,3,SG,26,CLE,45,45,1234,5.7,13.2,0.427,1.6,4.4,0.362,4.1,8.8,0.46,3,3.3,0.912,0.5,2.7,3.3,2.7,1.1,0.1,1.1,2.9,16,No_Honors
2019,Rodney Hood,2019Rodney Hood,3,SG,26,POR,27,4,659,5.4,11.9,0.452,1.6,4.6,0.345,3.8,7.3,0.519,1.8,2.2,0.805,0.4,2.1,2.5,1.9,1.1,0.4,1,2.5,14.1,No_Honors
2019,Al Horford,2019Al Horford,1,C,32,BOS,68,68,1973,7.1,13.2,0.535,1.3,3.7,0.36,5.7,9.5,0.604,1.4,1.7,0.821,2.2,6.2,8.4,5.2,1.1,1.6,1.9,2.3,16.9,No_Honors
2019,Danuel House,2019Danuel House,1,SF,25,HOU,39,13,979,4.3,9.3,0.468,2.7,6.5,0.416,1.6,2.7,0.595,2.1,2.6,0.789,0.9,4.2,5.1,1.5,0.8,0.4,1.3,2.9,13.5,No_Honors
2019,Dwight Howard,2019Dwight Howard,1,C,33,WAS,9,9,230,6.7,10.8,0.623,0,0,,6.7,10.8,0.623,4.5,7.5,0.604,3.8,9.2,13,0.6,1.1,0.6,2.5,5.3,18,No_Honors
2019,Kevin Huerter,2019Kevin Huerter,1,SG,20,ATL,75,59,2048,4.8,11.5,0.419,2.4,6.2,0.385,2.4,5.3,0.457,0.7,1,0.732,1.1,3.3,4.3,3.8,1.1,0.4,1.9,2.7,12.8,No_Honors
2019,Isaac Humphries,2019Isaac Humphries,1,C,21,ATL,5,1,56,3.9,13.5,0.286,1.9,7.1,0.273,1.9,6.4,0.3,0,0,,2.6,4.5,7.1,0,0.6,0,0,4.5,9.6,No_Honors
2019,R.J. Hunter,2019R.J. Hunter,1,SG,25,BOS,1,0,26,8.3,18,0.462,5.5,13.8,0.4,2.8,4.2,0.667,1.4,2.8,0.5,1.4,2.8,4.2,4.2,1.4,0,0,4.2,23.5,No_Honors
2019,Chandler Hutchison,2019Chandler Hutchison,1,SF,22,CHI,44,14,895,3.9,8.4,0.459,0.6,2,0.28,3.3,6.4,0.516,0.9,1.5,0.605,1.2,6.2,7.4,1.4,0.9,0.2,1,2.4,9.2,No_Honors
2019,Serge Ibaka,2019Serge Ibaka,1,C,29,TOR,74,51,2010,8.3,15.7,0.529,0.9,3,0.29,7.4,12.7,0.586,2.4,3.2,0.763,2.8,8,10.8,1.8,0.5,1.8,2,3.8,19.9,No_Honors
2019,Andre Iguodala,2019Andre Iguodala,1,SF,35,GSW,68,13,1578,3.4,6.9,0.5,1.1,3.3,0.333,2.3,3.6,0.652,0.9,1.5,0.582,1.1,4.7,5.7,4.9,1.4,1.2,1.2,2.2,8.9,No_Honors
2019,Ersan İlyasova,2019Ersan İlyasova,1,PF,31,MIL,67,7,1231,4.9,11.1,0.438,1.7,4.7,0.363,3.2,6.5,0.493,1.8,2.2,0.824,2.7,6.1,8.8,1.5,0.9,0.6,1.4,5,13.2,No_Honors
2019,Joe Ingles,2019Joe Ingles,1,PF,31,UTA,82,82,2568,5,11.2,0.448,2.6,6.8,0.391,2.4,4.5,0.533,1.2,1.7,0.707,0.5,4.1,4.6,6.6,1.4,0.3,2.7,2.5,13.9,No_Honors
2019,Andre Ingram,2019Andre Ingram,1,SG,33,LAL,4,0,15,0,14.4,0,0,7.2,0,0,7.2,0,0,0,,2.4,2.4,4.8,0,2.4,0,2.4,0,0,No_Honors
2019,Brandon Ingram,2019Brandon Ingram,1,SF,21,LAL,52,52,1760,7.4,14.9,0.497,0.6,1.9,0.33,6.8,13,0.521,4,5.9,0.675,0.8,4.6,5.5,3.2,0.6,0.6,2.6,3,19.4,No_Honors
2019,Kyrie Irving,2019Kyrie Irving,1,PG,26,BOS,67,67,2214,9.8,20.2,0.487,2.8,7.1,0.401,7,13.1,0.533,3.5,4,0.873,1.2,4.3,5.4,7.5,1.7,0.6,2.8,2.7,26,Second
2019,Jonathan Isaac,2019Jonathan Isaac,1,PF,21,ORL,75,64,1996,4.7,11,0.429,1.6,4.8,0.323,3.2,6.2,0.51,2,2.4,0.815,1.8,5.6,7.4,1.4,1.1,1.8,1.4,2.6,13,No_Honors
2019,Wesley Iwundu,2019Wesley Iwundu,1,SF,24,ORL,68,13,1233,3.3,8,0.412,0.8,2.3,0.367,2.5,5.7,0.431,2.5,3,0.816,1.1,4.3,5.4,2.1,0.8,0.6,1.3,3.6,9.9,No_Honors
2019,Demetrius Jackson,2019Demetrius Jackson,1,PG,24,PHI,6,0,39,7.4,13.8,0.533,1.8,5.5,0.333,5.5,8.3,0.667,3.7,3.7,1,1.8,0.9,2.8,4.6,1.8,0,0.9,3.7,20.3,No_Honors
2019,Frank Jackson,2019Frank Jackson,1,PG,20,NOP,61,16,1169,6,13.8,0.434,1.6,5.2,0.314,4.3,8.6,0.507,1.7,2.2,0.74,0.8,3.4,4.1,2.1,0.8,0.1,1.5,2.8,15.2,No_Honors
2019,Jaren Jackson,2019Jaren Jackson,1,PF,19,MEM,58,56,1515,7.1,14,0.506,1.2,3.4,0.359,5.9,10.6,0.553,3.6,4.7,0.766,1.7,4.7,6.5,1.5,1.2,1.9,2.3,5.2,19,No_Honors
2019,Josh Jackson,2019Josh Jackson,1,SG,21,PHO,79,29,1988,6.3,15.2,0.413,1.3,4.1,0.324,5,11.2,0.445,2.6,3.9,0.671,1.2,5.1,6.3,3.3,1.3,1,3.1,3.8,16.5,No_Honors
2019,Justin Jackson,2019Justin Jackson,3,SF,23,TOT,81,14,1614,4.8,10.8,0.447,1.9,5.5,0.355,2.9,5.4,0.542,1.4,1.8,0.785,1,3.7,4.7,2.1,0.7,0.3,0.6,2.2,13,No_Honors
2019,Justin Jackson,2019Justin Jackson,3,SF,23,SAC,52,3,1083,4.2,9.8,0.424,1.8,5.3,0.346,2.3,4.5,0.515,1.4,1.7,0.82,0.8,4,4.9,2.3,0.8,0.4,0.7,2.2,11.5,No_Honors
2019,Justin Jackson,2019Justin Jackson,3,SF,23,DAL,29,11,531,6.2,12.9,0.484,2.2,5.8,0.372,4.1,7.1,0.577,1.4,2,0.724,1.3,3.2,4.5,1.9,0.6,0.1,0.5,2.2,16.1,No_Honors
2019,Reggie Jackson,2019Reggie Jackson,1,PG,28,DET,82,82,2289,6.9,16.5,0.421,2.7,7.4,0.369,4.2,9.1,0.464,3.2,3.7,0.864,0.7,2.7,3.4,5.4,0.9,0.1,2.3,3.3,19.8,No_Honors
